node_id,tier,name,region
108,Warehouse,WARE_008,East
109,Warehouse,WARE_009,South
110,Warehouse,WARE_010,South
111,Warehouse,WARE_011,Central
112,Warehouse,WARE_012,West
113,Warehouse,WARE_013,North
114,Warehouse,WARE_014,North
115,Warehouse,WARE_015,North
116,Warehouse,WARE_016,South
117,Warehouse,WARE_017,South
118,Warehouse,WARE_018,West
119,Warehouse,WARE_019,Central
120,Warehouse,WARE_020,North
121,Warehouse,WARE_021,West
122,Warehouse,WARE_022,West
123,Warehouse,WARE_023,Central
124,Warehouse,WARE_024,West
125,Warehouse,WARE_025,Central
126,Warehouse,WARE_026,East
127,Warehouse,WARE_027,Central
128,Warehouse,WARE_028,North
129,Warehouse,WARE_029,North
130,Retailer,RETA_000,Central
131,Retailer,RETA_001,East
132,Retailer,RETA_002,East
133,Retailer,RETA_003,North
134,Retailer,RETA_004,East
135,Retailer,RETA_005,West
136,Retailer,RETA_006,South
137,Retailer,RETA_007,West
138,Retailer,RETA_008,North
139,Retailer,RETA_009,East
140,Retailer,RETA_010,Central
141,Retailer,RETA_011,South
142,Retailer,RETA_012,Central
143,Retailer,RETA_013,North
144,Retailer,RETA_014,East
145,Retailer,RETA_015,Central
146,Retailer,RETA_016,Central
147,Retailer,RETA_017,South
148,Retailer,RETA_018,South
149,Retailer,RETA_019,East
150,Retailer,RETA_020,South
151,Retailer,RETA_021,Central
152,Retailer,RETA_022,Central
153,Retailer,RETA_023,North
154,Retailer,RETA_024,Central
155,Retailer,RETA_025,East
156,Retailer,RETA_026,West
157,Retailer,RETA_027,North
158,Retailer,RETA_028,North
159,Retailer,RETA_029,East
160,Retailer,RETA_030,East
161,Retailer,RETA_031,South
162,Retailer,RETA_032,North
163,Retailer,RETA_033,South
164,Retailer,RETA_034,Central
165,Retailer,RETA_035,North
166,Retailer,RETA_036,North
167,Retailer,RETA_037,West
168,Retailer,RETA_038,North
169,Retailer,RETA_039,Central
170,Retailer,RETA_040,South
171,Retailer,RETA_041,South
172,Retailer,RETA_042,West
173,Retailer,RETA_043,Central
174,Retailer,RETA_044,South
175,Retailer,RETA_045,East
176,Retailer,RETA_046,Central
177,Retailer,RETA_047,Central
178,Retailer,RETA_048,West
179,Retailer,RETA_049,South
180,Retailer,RETA_050,Central
181,Retailer,RETA_051,South
182,Retailer,RETA_052,East
183,Retailer,RETA_053,West
184,Retailer,RETA_054,East
185,Retailer,RETA_055,West
186,Retailer,RETA_056,Central
187,Retailer,RETA_057,West
188,Retailer,RETA_058,North
189,Retailer,RETA_059,South
190,Retailer,RETA_060,South
191,Retailer,RETA_061,North
192,Retailer,RETA_062,East
193,Retailer,RETA_063,North
194,Retailer,RETA_064,Central
195,Retailer,RETA_065,Central
196,Retailer,RETA_066,South
197,Retailer,RETA_067,Central
198,Retailer,RETA_068,South
199,Retailer,RETA_069,North
200,Retailer,RETA_070,North
201,Retailer,RETA_071,North
202,Retailer,RETA_072,South
203,Retailer,RETA_073,North
204,Retailer,RETA_074,North
205,Retailer,RETA_075,East
206,Retailer,RETA_076,North
207,Retailer,RETA_077,Central
208,Retailer,RETA_078,South
209,Retailer,RETA_079,East
210,Retailer,RETA_080,West
211,Retailer,RETA_081,South
212,Retailer,RETA_082,Central
213,Retailer,RETA_083,South
214,Retailer,RETA_084,Central
215,Retailer,RETA_085,Central
216,Retailer,RETA_086,West
217,Retailer,RETA_087,South
218,Retailer,RETA_088,West
219,Retailer,RETA_089,West
220,Retailer,RETA_090,South
221,Retailer,RETA_091,North
222,Retailer,RETA_092,North
223,Retailer,RETA_093,West
224,Retailer,RETA_094,East
225,Retailer,RETA_095,West
226,Retailer,RETA_096,West
227,Retailer,RETA_097,West
228,Retailer,RETA_098,North
229,Retailer,RETA_099,North
230,Retailer,RETA_100,North
231,Retailer,RETA_101,West
232,Retailer,RETA_102,East
233,Retailer,RETA_103,North
234,Retailer,RETA_104,South
235,Retailer,RETA_105,South
236,Retailer,RETA_106,South
237,Retailer,RETA_107,Central
238,Retailer,RETA_108,West
239,Retailer,RETA_109,South
240,Retailer,RETA_110,West
241,Retailer,RETA_111,South
242,Retailer,RETA_112,East
243,Retailer,RETA_113,West
244,Retailer,RETA_114,South
245,Retailer,RETA_115,North
246,Retailer,RETA_116,West
247,Retailer,RETA_117,Central
248,Retailer,RETA_118,North
249,Retailer,RETA_119,North
